id,name,address,lat,lng,HEX(geom),category_id,recom,description,video_url,created_at,updated_at
B0001,Auditorium Universitas Andalas,Limau Manis,-0.91479873,100.45873528,0xe610000001030000000100000005000000427c0621561d594037be31c77c45edbf437cc6d45a1d5940b71d76faec48edbf427c66b5611d5940c26f04fe9546edbf417c46075d1d59402af2d2fa2243edbf427c0621561d594037be31c77c45edbf,01,1,null,,2023-06-10 14:34:39,2023-06-10 14:34:39
B0002,Baitul Ilmi Mosque,Limau Manis,-0.91111949,100.46141907,0xe6100000010300000001000000070000008479b940871d5940cbfd27bd0c29edbf857939de871d5940279fe11b3429edbf8479997b8a1d5940975570b34a28edbf84799905881d59404d62a3019426edbf8479194c851d594019892c899927edbf8579d9c7851d5940ec822b56f627edbf8479b940871d5940cbfd27bd0c29edbf,01,2,null,,2023-06-10 14:34:39,2023-06-10 14:34:39
B0003,Bank Center,Limau Manis,-0.91817301,100.45836411,0xe610000001030000000100000009000000e21fc43b541d5940e2e0751c9360edbfc46dda1c541d59408ad83d1e5f60edbfc36d5ae7541d594069498dd01860edbfc56d7a03551d5940685fb81f3260edbfc46d7ab7551d5940a4316281ff5fedbfc46dfaf7581d59409b339a4d5962edbfc46dda0b561d5940c3dc2f355963edbfc46ddab4521d5940273040f9f660edbfe21fc43b541d5940e2e0751c9360edbf,01,1,null,,2023-06-10 14:34:39,2023-06-10 14:34:39
B0004,Convention Hall,Limau Manis,-0.91688095,100.45815390,0xe61000000103000000010000000a0000007531b791521d5940e0e701262255edbf7431b7e04e1d59403241515b6856edbf7531b7b34e1d5940d39c328c3558edbf7431b73a4f1d5940a563c587bc58edbf743137a8521d5940e54430450b59edbf7531b761551d594000263f898f58edbf7531b715561d5940644241d0b957edbf753137d2551d59403993e456ef56edbf7531b7ad541d59406ec6bd5fe155edbf7531b791521d5940e0e701262255edbf,01,1,null,,2023-06-10 14:34:39,2023-06-10 14:34:39
B0005,Business Center (BC),Limau Manis,-0.91707990,100.45339016,0xe6100000010300000001000000060000009f858955011d59404bed1460d857edbf9f858955011d59400f0924f19f59edbfa0850966071d5940f2e16a819759edbfa0854944071d5940b0bd5bf0cf57edbf9f85494a011d59403f882c90d557edbf9f858955011d59404bed1460d857edbf,01,2,null,,2023-06-10 14:34:39,2023-06-10 14:34:39
B0006,Rektorat Universitas Andalas,Limau Manis,-0.91529582,100.45798699,0xe6100000010300000001000000170000001e6b69a04c1d594074fd1a29c246edbf1e6b290b4f1d5940731dfd3fef45edbf1e6b09de501d5940f007fcc52147edbf1e6bc9974f1d594094737c91ab47edbf1d6b697e501d594072b82bbd2f48edbf1e6be92c4f1d59405a5d2179ab48edbf1e6b09fd4f1d594006c65ab43d49edbf1e6b290e4c1d594037220e99974aedbf1e6b49bf4d1d59404865214fc74bedbf1e6ba997511d5940b86328da754aedbf1e6b2913561d59402fa0a99ddd4dedbf1e6b09e9541d5940bd8442aa454eedbf1e6b4905531d59400512c125e64cedbf1e6b0938511d5940a7a79c617b4bedbf1e6b69a04c1d594079188fb40a4dedbf1e6b09f24b1d59408c730dd89f4cedbf1f6b293e491d594037220e99974aedbf1e6b49b14c1d59405d9511136549edbf1e6ba9f74b1d5940c43e0738cd48edbf1e6b69fa4c1d5940268f269b6d48edbf1e6b293b4c1d594039e97980ca47edbf1e6b69814d1d59403f04f7a35f47edbf1e6b69a04c1d594074fd1a29c246edbf,01,1,null,,2023-06-10 14:34:39,2023-06-10 14:34:39
B0007,Klinik Medika Andalas,Limau Manis,-0.91981964,100.45536048,0xe6100000010300000001000000050000001b8f4dde221d59407f5e84639e6eedbf1c8f8d24241d5940606d57b62d70edbf1c8f4d62261d594045f0f509c06fedbf1c8f2d0b251d59405f7a8177256eedbf1b8f4dde221d59407f5e84639e6eedbf,01,1,null,,2023-06-10 14:34:39,2023-06-10 14:34:39
B0008,Laboratorium Sentral,Limau Manis,-0.90883523,100.46061253,0xe61000000103000000010000000500000044740522781d594022c2b9cd5715edbfce7acd6a791d59409c0c4c663e16edbfcd7aed377d1d59403dd42be00b15edbfcd7a0dec7b1d59408278ded71c14edbf44740522781d594022c2b9cd5715edbf,01,2,null,,2023-06-10 14:34:39,2023-06-10 14:34:39
B0009,Masjid Adz Zikra Farmasi,Limau Manis,-0.91432790,100.46208996,0xe610000001030000000100000005000000545ab71f921d5940d4315d566641edbf535a1739911d5940e9271d6e6342edbf545a1755931d5940201670d9f242edbf545a778a941d59402d83e132d141edbf545ab71f921d5940d4315d566641edbf,01,2,null,,2023-06-10 14:34:39,2023-06-10 14:34:39
B0010,Masjid Al-Baqoroh,Limau Manis,-0.91263808,100.45915316,0xe61000000103000000010000000600000007fe3cfc611d594018e6795dc533edbf06fedcf3601d59400ec51215c834edbf06fe9c04631d59405cfcde704935edbf07fefc93641d594024244bfdca33edbf07fe1c67621d5940ba7cc3206033edbf07fe3cfc611d594018e6795dc533edbf,01,2,null,,2023-06-10 14:34:39,2023-06-10 14:34:39
